,gene/TF,region
1078225,GEM,DLPFC
1091976,ACYP1,DLPFC
1114313,KCMF1,DLPFC
1127723,NDUFS3,DLPFC
1143141,KRT17,DLPFC
1151919,SPAG16,DLPFC
1153711,DNAJA4,DLPFC
1159533,FOS,DLPFC
1160192,TRAF4,DLPFC
1168452,SERPINH1,DLPFC
1173158,TRPM7,DLPFC
1178231,RPS26,DLPFC
1180782,RELN,DLPFC
1201118,MMP14,DLPFC
1212975,RND3,DLPFC
1224910,HMOX1,DLPFC
1233891,SERF2,DLPFC
1240208,RPL32,DLPFC
1252096,PLXNC1,DLPFC
1254928,TMEM109,DLPFC
1290492,APEX1,DLPFC
1291248,PTPN13,DLPFC
1299259,PPP2R1B,DLPFC
1307318,SEMA7A,DLPFC
1311591,ARHGAP24,DLPFC
1316699,TMEM126A,DLPFC
1318301,APLNR,DLPFC
1339054,PPP1R14A,DLPFC
1343978,RPL28,DLPFC
1344697,SOCS6,DLPFC
1348196,ZNF442,DLPFC
1404436,SGK1,DLPFC
1407285,COX7C,DLPFC
1428179,WDR83OS,DLPFC
1441491,RTN4RL2,DLPFC
1443088,CLK3,DLPFC
1473047,SLC17A7,DLPFC
1512202,LRRK1,DLPFC
1524715,IL18BP,DLPFC
1532949,CKB,DLPFC
1573560,APLN,DLPFC
1582979,LOXL2,DLPFC
1586224,HEY1,DLPFC
1590236,SMTN,DLPFC
1601126,NBPF20,DLPFC
1608854,MSRB1,DLPFC
1619006,DSE,DLPFC
1619189,VPS29,DLPFC
1627621,NDUFB3,DLPFC
1651952,NINJ2,DLPFC
1654975,SUB1,DLPFC
1657633,DNAJB1,DLPFC
1663259,HDAC6,DLPFC
1669736,SIDT1,DLPFC
1671821,KCNA1,DLPFC
1697171,ZNF92,DLPFC
1705524,RGS20,DLPFC
1709704,TEAD4,DLPFC
1713062,SATB1,DLPFC
1716167,INPP4B,DLPFC
1732960,HMBOX1,DLPFC
1748286,MED20,DLPFC
1749488,GLP2R,DLPFC
1751222,CRTAP,DLPFC
1751975,NPC1,DLPFC
1762945,STARD13,DLPFC
1770437,NDUFB7,DLPFC
1773299,ADAMTS1,DLPFC
1773955,CHD9,DLPFC
1785747,TTC3,DLPFC
1792499,BOLA3,DLPFC
1794870,CERS2,DLPFC
1798995,NDUFA12,DLPFC
1806554,ROS1,DLPFC
1813883,SART3,DLPFC
1816505,RPL27A,DLPFC
1836829,CD82,DLPFC
1837860,RPS15A,DLPFC
1850885,CACYBP,DLPFC
1852408,KIAA1324L,DLPFC
1852810,ABCB1,DLPFC
1857909,NHEJ1,DLPFC
1863938,NFKBIZ,DLPFC
1868757,PCSK1N,DLPFC
1881129,LY96,DLPFC
1883413,COLGALT1,DLPFC
1885659,UQCC1,DLPFC
1894407,ZBBX,DLPFC
1905266,ACVR1C,DLPFC
1914858,PIGA,DLPFC
1920021,PSMA2,DLPFC
1931142,ST18,DLPFC
1948236,ANGPTL4,DLPFC
1960147,MBD6,DLPFC
1976564,KAT6A,DLPFC
1977293,STOX1,DLPFC
1983422,S100A13,DLPFC
2005980,C3,DLPFC
2010437,KCNH8,DLPFC
2014120,IMMP1L,DLPFC
2016344,HNRNPA1,DLPFC
2027120,RPL26,DLPFC
2027690,ST6GAL2,DLPFC
2045945,SPP1,DLPFC
2047436,CA5B,DLPFC
2056575,C1R,DLPFC
2058755,RASGEF1B,DLPFC
2063566,ELAVL2,DLPFC
2108227,EFHD1,DLPFC
2120003,PRPS1,DLPFC
2120881,LSM5,DLPFC
2152751,BCL2L2-PABPN1,DLPFC
2169998,CADPS2,DLPFC
2183321,MOBP,DLPFC
2187508,FGFR1,DLPFC
2205735,NR4A2,DLPFC
2206747,ALG12,DLPFC
2208642,ZFPL1,DLPFC
2216320,UQCR10,DLPFC
2223350,HHIP,DLPFC
2242425,AP1S2,DLPFC
2266415,SLC32A1,DLPFC
2283626,PPP1R12A,DLPFC
2290943,SF3A2,DLPFC
2293394,SEC24D,DLPFC
2300173,ASGR1,DLPFC
2310949,UBXN11,DLPFC
2323086,ITGA10,DLPFC
2330058,PLOD2,DLPFC
2341282,EXOC6,DLPFC
2342009,MPZL2,DLPFC
2342096,SEZ6L,DLPFC
2346822,TYK2,DLPFC
2349507,TRIP10,DLPFC
2354482,PFKP,DLPFC
2363993,MLLT10,DLPFC
2367417,CKS1B,DLPFC
2367527,ZNF131,DLPFC
2383949,ANLN,DLPFC
2387853,IRF2,DLPFC
2390274,NRP2,DLPFC
2394551,ALDH1A1,DLPFC
2402842,CXCR4,DLPFC
2420068,CDH8,DLPFC
2430374,DPYD,DLPFC
2434484,PNP,DLPFC
2438398,SOSTDC1,DLPFC
2441972,PLSCR4,DLPFC
2448945,DVL2,DLPFC
2457267,GLCCI1,DLPFC
2466226,DNAJB6,DLPFC
2477112,NAMPT,DLPFC
2478907,MMD2,DLPFC
2482364,PPFIBP2,DLPFC
2490816,ZFAND2A,DLPFC
2504607,RPS15,DLPFC
2506711,RPL31,DLPFC
2516262,CAPN3,DLPFC
2518692,CD44,DLPFC
2519799,MAFB,DLPFC
2521408,IFITM2,DLPFC
2522515,IFITM1,DLPFC
2569230,GMNN,DLPFC
2592617,RPS6,DLPFC
2599331,FCHO1,DLPFC
2600392,SIGIRR,DLPFC
2623913,DHRS9,DLPFC
2647878,IL32,DLPFC
2676353,PLEK,DLPFC
2677629,BANP,DLPFC
2681131,LRRFIP2,DLPFC
2684799,REEP3,DLPFC
2700672,LCP2,DLPFC
2703376,PLSCR1,DLPFC
2705882,ICA1,DLPFC
2708043,NEK10,DLPFC
2727160,PHLDB2,DLPFC
2728340,PLCH1,DLPFC
2737746,ADAM15,DLPFC
2746413,IL6ST,DLPFC
2763653,MYLIP,DLPFC
2769385,ATF3,DLPFC
2806520,SLC38A6,DLPFC
2811797,AZGP1,DLPFC
2812953,GRAMD1A,DLPFC
2814529,MICU3,DLPFC
2835236,RNF217,DLPFC
2836934,PPEF1,DLPFC
2843416,SUPT3H,DLPFC
2853389,FLNA,DLPFC
2867095,RPL30,DLPFC
2867327,BIRC3,DLPFC
2871495,RCAN2,DLPFC
2874707,PHC1,DLPFC
2877518,ZNF384,DLPFC
2881316,FCGR3A,DLPFC
2885957,A2ML1,DLPFC
2891700,PDIA2,DLPFC
2892405,FCGR2A,DLPFC
2907467,COMMD4,DLPFC
2913336,ANGPT2,DLPFC
2926108,MAPK7,DLPFC
2926382,TESPA1,DLPFC
2933067,CCBE1,DLPFC
2934140,TPD52L1,DLPFC
2947318,HDDC2,DLPFC
2960278,TTN,DLPFC
2974181,OLR1,DLPFC
2977390,TFEB,DLPFC
2981972,HHATL,DLPFC
2993231,RSF1,DLPFC
3022109,WFDC2,DLPFC
3027087,GLDN,DLPFC
3041695,ERF,DLPFC
3051591,MC4R,DLPFC
3055827,UQCR11,DLPFC
3059448,DNAJA1,DLPFC
3064406,CDH12,DLPFC
3087547,SYNC,DLPFC
3088365,MT2A,DLPFC
3096719,MT1E,DLPFC
3110139,ERAP2,DLPFC
3115720,ATXN2L,DLPFC
3117375,NRG1,DLPFC
3117593,MGST3,DLPFC
3118539,PRDM5,DLPFC
3118983,SCAPER,DLPFC
3119642,PIEZO2,DLPFC
3119992,WDR78,DLPFC
3120405,USP45,DLPFC
3120734,BTBD11,DLPFC
3121036,ZNF449,DLPFC
3121416,RASA4B,DLPFC
3127349,MTR,DLPFC
3132191,FLNC,DLPFC
3133142,SLC25A48,DLPFC
3166794,CAV1,DLPFC
3206919,TAF1D,DLPFC
3235838,FAM118A,DLPFC
3243157,TNRC6A,DLPFC
3256625,BMPER,DLPFC
3258678,CYB5B,DLPFC
3258875,ZSCAN30,DLPFC
3259869,C16orf62,DLPFC
3261339,CAPG,DLPFC
3262147,ATCAY,DLPFC
3262729,PRDX5,DLPFC
3263342,KCNS3,DLPFC
3263581,ZNF326,DLPFC
3263892,PGAM2,DLPFC
3264381,SH3BP4,DLPFC
3264461,ZNF200,DLPFC
3265040,KDM4C,DLPFC
3265230,CYP26B1,DLPFC
3265338,NIPA1,DLPFC
3265463,WDR45,DLPFC
3265590,FN1,DLPFC
3265693,GADD45A,DLPFC
3265884,TMUB1,DLPFC
3266660,RHBDF1,DLPFC
3266902,PARP9,DLPFC
3267256,CBX6,DLPFC
3267444,KMT2C,DLPFC
3267519,ENTPD1,DLPFC
3267744,ARHGAP17,DLPFC
3268614,DDIT4,DLPFC
3282350,CRTC2,DLPFC
3302609,CXCL10,DLPFC
3309611,LIN37,DLPFC
3317290,FAM196B,DLPFC
3317620,ZFP28,DLPFC
3332264,HSPA6,DLPFC
3344832,NDNF,DLPFC
3348937,MVD,DLPFC
3367558,SH3GL2,DLPFC
3369687,TMEM125,DLPFC
3380247,TMEM160,DLPFC
3386448,ANP32B,DLPFC
3390639,MKNK2,DLPFC
3402321,HSD17B1,DLPFC
3406357,CDRT4,DLPFC
3424440,LHX2,DLPFC
3424856,NUDT14,DLPFC
3426025,TIAF1,DLPFC
3436873,TRNAU1AP,DLPFC
3442930,ATF1,DLPFC
3448368,CCDC61,DLPFC
3453732,TGFB3,DLPFC
3460080,GLB1,DLPFC
3481870,AP1G2,DLPFC
3515088,ALOX5AP,DLPFC
3515538,KCNJ13,DLPFC
3534681,RPL39L,DLPFC
3576194,ATP6V0E2,DLPFC
3576513,CTSA,DLPFC
3577779,SH3BP2,DLPFC
3578343,CD9,DLPFC
3578428,CLEC4A,DLPFC
3578665,NEURL2,DLPFC
3598553,SERPINE1,DLPFC
3607727,LRCH4,DLPFC
3613076,CTSZ,DLPFC
3629125,TRIM54,DLPFC
3633316,CHGB,DLPFC
3636309,C9orf24,DLPFC
3641586,TAS2R3,DLPFC
3649305,PABPC1L2B,DLPFC
3657650,IL12RB2,DLPFC
3660453,NRG4,DLPFC
3669396,RGS16,DLPFC
3670333,UNC13A,DLPFC
3679317,CPED1,DLPFC
3701591,LUZP6,DLPFC
3711197,NPTXR,DLPFC
3711734,TSPAN18,DLPFC
3724538,COX5B,DLPFC
3733294,GNB3,DLPFC
3733724,TTC31,DLPFC
3737523,NAT6,DLPFC
3749988,HAS2,DLPFC
3750709,CRLS1,DLPFC
3751069,NUTF2,DLPFC
3751116,ACVR2B,DLPFC
3767913,FAM135B,DLPFC
3780711,MLKL,DLPFC
3787756,ORC6,DLPFC
3787958,TP53I11,DLPFC
3800803,MCHR2,DLPFC
3806961,TCF7L1,DLPFC
3807569,CXCL14,DLPFC
3811570,MZT2A,DLPFC
3815620,YEATS4,DLPFC
3815718,ARHGEF33,DLPFC
3822120,DENND6A,DLPFC
3828659,VAPA,DLPFC
3832345,EPHA3,DLPFC
3835319,OSTN,DLPFC
3835756,HP,DLPFC
3838925,PYDC2,DLPFC
3838984,MRPL1,DLPFC
3839032,FRAS1,DLPFC
3839526,OSBPL7,DLPFC
3841162,ZHX2,DLPFC
3842688,TAB3,DLPFC
3845471,SMUG1,DLPFC
3845642,KNOP1,DLPFC
3845682,LETM2,DLPFC
3845792,GPRC5B,DLPFC
3845863,CC2D2B,DLPFC
3845898,PRAF2,DLPFC
3846035,PHLPP1,DLPFC
3846142,SHC1,DLPFC
3846232,COX19,DLPFC
3846251,FAM13C,DLPFC
3846259,KIF24,DLPFC
3846385,PDIA6,DLPFC
3846396,ARL5B,DLPFC
3846467,SPRED1,DLPFC
3849210,ZBTB10,DLPFC
3850166,UCK2,DLPFC
3851804,PHYHIPL,DLPFC
3851843,LSM10,DLPFC
3851929,STAM2,DLPFC
3851998,AHNAK,DLPFC
3852043,FAM49B,DLPFC
3852288,ATP6V1C2,DLPFC
3852311,TLE2,DLPFC
3852650,LYPLA1,DLPFC
3852686,PAX3,DLPFC
3801,YBX1,Hippocampus
7838,S100A4,Hippocampus
9812,ZFP69B,Hippocampus
10898,TRIT1,Hippocampus
13883,AGL,Hippocampus
16305,ARHGEF11,Hippocampus
17533,ASTN1,Hippocampus
18496,ATP2B4,Hippocampus
21509,RAB25,Hippocampus
23000,RASAL2,Hippocampus
25166,RGS4,Hippocampus
31133,S100A6,Hippocampus
33068,SELL,Hippocampus
36458,SMG5,Hippocampus
40023,SSR2,Hippocampus
41557,STX12,Hippocampus
45562,TIPRL,Hippocampus
50213,UAP1,Hippocampus
51318,UCHL5,Hippocampus
55589,YIPF1,Hippocampus
57823,ZDHHC18,Hippocampus
64195,CAMK1G,Hippocampus
64563,CAPN2,Hippocampus
66990,CD34,Hippocampus
70183,CEPT1,Hippocampus
75192,CSRP1,Hippocampus
82484,ELOA,Hippocampus
86783,FMO3,Hippocampus
88270,GBP2,Hippocampus
94403,H2BC21,Hippocampus
94545,H3-3A,Hippocampus
94979,HDGF,Hippocampus
97057,HP1BP3,Hippocampus
109497,LRRC8B,Hippocampus
119475,NPHP4,Hippocampus
121779,NUAK2,Hippocampus
122641,OLFML2B,Hippocampus
123040,OLFML3,Hippocampus
133872,PSEN2,Hippocampus
139881,FLAD1,Hippocampus
140985,PIGV,Hippocampus
143582,C1orf115,Hippocampus
143816,RABGAP1L,Hippocampus
144011,CLSTN1,Hippocampus
148371,TARBP1,Hippocampus
150117,CDC42SE1,Hippocampus
155585,RAP1A,Hippocampus
157502,RRNAD1,Hippocampus
168738,CAMTA1,Hippocampus
170532,CDC7,Hippocampus
170988,CEP85,Hippocampus
174955,ELAPOR1,Hippocampus
176909,FMO6P,Hippocampus
186210,LRRC40,Hippocampus
187808,MSTO1,Hippocampus
194440,PGM1,Hippocampus
196978,PPFIA4,Hippocampus
202499,AGO3,Hippocampus
203593,ARID1A,Hippocampus
204094,ATP5IF1,Hippocampus
206593,SHC1,Hippocampus
207096,SMYD3,Hippocampus
208265,SRM,Hippocampus
208526,SRP9,Hippocampus
215929,CDC42,Hippocampus
216654,CSF1,Hippocampus
223538,FCN3,Hippocampus
223883,FGR,Hippocampus
225620,KDM5B,Hippocampus
237546,WARS2,Hippocampus
244344,RNF220,Hippocampus
246813,SLC25A44,Hippocampus
248211,TMCC2,Hippocampus
258340,CR1,Hippocampus
260107,EBNA1BP2,Hippocampus
262176,FUCA1,Hippocampus
264935,HS2ST1,Hippocampus
266574,KCND3,Hippocampus
267987,MAPKAPK2,Hippocampus
279384,CDC20,Hippocampus
281297,EIF4G3,Hippocampus
282354,FAM76A,Hippocampus
290483,RCC1,Hippocampus
290628,SCAMP3,Hippocampus
292591,TRAF3IP3,Hippocampus
293160,CASP9,Hippocampus
294778,DIRAS3,Hippocampus
295324,FCER1A,Hippocampus
295554,GJA4,Hippocampus
297088,LRRC8D,Hippocampus
298115,MTF2,Hippocampus
298494,ORC1,Hippocampus
300811,PPIH,Hippocampus
302465,ADGRB2,Hippocampus
306510,DDI2,Hippocampus
307672,GNPAT,Hippocampus
308470,LGALS8,Hippocampus
310330,PPP2R5A,Hippocampus
312720,TRIM33,Hippocampus
319402,SLAMF1,Hippocampus
320111,MRTO4,Hippocampus
328223,MUL1,Hippocampus
329388,PPCS,Hippocampus
330488,PROX1,Hippocampus
335266,HPCAL4,Hippocampus
335903,PRG4,Hippocampus
337233,SDCCAG8,Hippocampus
337498,INPP5B,Hippocampus
338318,H3-4,Hippocampus
339456,MPZL1,Hippocampus
342133,DNAJC1,Hippocampus
343255,ENTPD1,Hippocampus
344874,ANXA11,Hippocampus
345706,ARL3,Hippocampus
346784,ATRNL1,Hippocampus
348952,SEC61A2,Hippocampus
350027,SGPL1,Hippocampus
352582,SPOCK2,Hippocampus
356281,C10orf88,Hippocampus
360589,CRTAC1,Hippocampus
361357,CTBP2,Hippocampus
362576,DCLRE1C,Hippocampus
362859,DNA2,Hippocampus
364686,FGFR2,Hippocampus
375369,LIPF,Hippocampus
377407,MTPAP,Hippocampus
386418,ZNF365,Hippocampus
388631,SLIT1,Hippocampus
390658,AKR1C1,Hippocampus
393026,ACTA2,Hippocampus
394846,SORCS3,Hippocampus
395375,THNSL1,Hippocampus
399008,COX15,Hippocampus
399492,CUL2,Hippocampus
399765,CYP2C8,Hippocampus
402008,INPP5A,Hippocampus
402584,MLLT10,Hippocampus
404428,PDSS1,Hippocampus
408640,ACADSB,Hippocampus
409055,ADARB2,Hippocampus
411724,CHST3,Hippocampus
416234,PGAM1,Hippocampus
416886,GLUD1,Hippocampus
421514,TIAL1,Hippocampus
426939,LGI1,Hippocampus
430985,AMSH-LP,Hippocampus
432139,CAMK1D,Hippocampus
442194,TIMM23,Hippocampus
443762,UNC5B,Hippocampus
445350,NEURL1,Hippocampus
445809,TRDMT1,Hippocampus
449668,TRIM68,Hippocampus
453083,NR1H3,Hippocampus
453236,RAB30,Hippocampus
455785,AKIP1,Hippocampus
457617,AMBRA1,Hippocampus
458876,B3GAT1,Hippocampus
464367,SCN3B,Hippocampus
465071,SF3B2,Hippocampus
471053,TOLLIP,Hippocampus
471639,TRIM21,Hippocampus
478910,C11orf71,Hippocampus
482213,CDK2AP2,Hippocampus
489387,DDX25,Hippocampus
495437,FBXO3,Hippocampus
496830,FIBP,Hippocampus
498655,FXYD6,Hippocampus
501921,HRAS,Hippocampus
507594,LRP4,Hippocampus
508617,MICAL2,Hippocampus
510372,NELL1,Hippocampus
515220,PCF11,Hippocampus
517348,PPFIBP2,Hippocampus
520621,ANO3,Hippocampus
523466,ACP2,Hippocampus
524226,AIP,Hippocampus
535643,CKAP5,Hippocampus
537680,GNG3,Hippocampus
541905,MPPED2,Hippocampus
545608,PRPF19,Hippocampus
545764,PSMA1,Hippocampus
550216,PTS,Hippocampus
555165,SPA17,Hippocampus
559008,COX8A,Hippocampus
564982,NDUFV1,Hippocampus
565849,PHF21A,Hippocampus
567789,PPP2R1B,Hippocampus
568847,ZNRD2,Hippocampus
570358,MRPL48,Hippocampus
574515,ATM,Hippocampus
575326,RBM4B,Hippocampus
575763,RPS13,Hippocampus
584452,DKK3,Hippocampus
584766,DYNC2H1,Hippocampus
586201,FAM168A,Hippocampus
589129,IL10RA,Hippocampus
590143,ME3,Hippocampus
591772,OR51E2,Hippocampus
596160,CCDC82,Hippocampus
598698,FTH1,Hippocampus
601896,AP2A2,Hippocampus
603605,SPTBN2,Hippocampus
604784,TKFC,Hippocampus
605153,ZNF202,Hippocampus
605820,DLAT,Hippocampus
606049,DPP3,Hippocampus
607789,HTATIP2,Hippocampus
609999,LRP5,Hippocampus
610300,MDK,Hippocampus
611150,SIPA1,Hippocampus
612379,UBE2L6,Hippocampus
614011,DDB1,Hippocampus
616189,MPZL2,Hippocampus
618204,VPS37C,Hippocampus
631801,CLPB,Hippocampus
632575,KMT5B,Hippocampus
634123,SH2B3,Hippocampus
635817,PXMP2,Hippocampus
641866,AKAP3,Hippocampus
644712,ATF7IP,Hippocampus
646625,PSMD9,Hippocampus
647020,PTHLH,Hippocampus
647437,PTPRR,Hippocampus
649131,RAPGEF3,Hippocampus
650072,RASAL1,Hippocampus
653816,SINHCAF,Hippocampus
660586,TULP3,Hippocampus
660960,ULK1,Hippocampus
665879,C2CD5,Hippocampus
665987,C3AR1,Hippocampus
667545,CBX5,Hippocampus
670284,CDK2AP1,Hippocampus
671464,CNPY2,Hippocampus
672410,DDX23,Hippocampus
674767,FAIM2,Hippocampus
684603,LAG3,Hippocampus
686452,MANSC1,Hippocampus
688318,MLXIP,Hippocampus
689469,MRPS35,Hippocampus
690720,NCAPD2,Hippocampus
691548,NECAP1,Hippocampus
691719,NINJ2,Hippocampus
693540,P2RX4,Hippocampus
702141,POLR3B,Hippocampus
704148,PWP1,Hippocampus
705079,SHMT2,Hippocampus
705906,SLC6A12,Hippocampus
708691,WNK1,Hippocampus
710192,CD163,Hippocampus
713313,DAO,Hippocampus
714898,FBXO21,Hippocampus
717542,HCAR3,Hippocampus
719975,LEMD3,Hippocampus
722268,MYL6B,Hippocampus
723648,OAS3,Hippocampus
723940,P2RX7,Hippocampus
727453,ADIPOR2,Hippocampus
732134,SLC4A8,Hippocampus
744841,NFE2,Hippocampus
745170,NPFF,Hippocampus
746085,PAN2,Hippocampus
746133,PEBP1,Hippocampus
753499,UHRF1BP1L,Hippocampus
754809,CFAP94,Hippocampus
764057,NDUFA9,Hippocampus
765687,PARPBP,Hippocampus
766476,PPFIBP1,Hippocampus
771861,ARL1,Hippocampus
773552,UTP20,Hippocampus
774317,DENR,Hippocampus
774602,DGKA,Hippocampus
776075,NAV3,Hippocampus
777020,PLXNC1,Hippocampus
780859,C12orf43,Hippocampus
781546,ENO2,Hippocampus
781857,GABARAPL1,Hippocampus
784759,MLEC,Hippocampus
785003,MPHOSPH9,Hippocampus
787200,DRAM1,Hippocampus
787814,KLRG1,Hippocampus
793756,STYK1,Hippocampus
796385,DENND5B,Hippocampus
797983,ZNF10,Hippocampus
800530,CMAS,Hippocampus
802179,FZD10,Hippocampus
803613,OLFM4,Hippocampus
804886,AKAP11,Hippocampus
807753,SOX1,Hippocampus
808841,TGDS,Hippocampus
810515,UGGT2,Hippocampus
812331,CNMD,Hippocampus
815864,HTR2A,Hippocampus
819565,NBEA,Hippocampus
825905,TRPC4,Hippocampus
827418,DLEU1,Hippocampus
828182,GPC5,Hippocampus
831021,RFC3,Hippocampus
831357,RNASEH2B,Hippocampus
831814,DZIP1,Hippocampus
835819,RGCC,Hippocampus
836594,SUPT20H,Hippocampus
844306,POGLUT2,Hippocampus
845566,TPT1,Hippocampus
845829,PHF11,Hippocampus
848435,OTUB2,Hippocampus
849490,BMP4,Hippocampus
851240,AHNAK2,Hippocampus
855200,SAMD4A,Hippocampus
856759,SIPA1L1,Hippocampus
863203,BAZ1A,Hippocampus
864698,COCH,Hippocampus
865294,CPNE6,Hippocampus
872432,FOXN3,Hippocampus
874905,KHNYN,Hippocampus
877835,MTHFD1,Hippocampus
878337,NEK9,Hippocampus
886478,FLRT2,Hippocampus
887689,ABCD4,Hippocampus
887829,ABHD4,Hippocampus
888545,AP4S1,Hippocampus
890679,SERPINA5,Hippocampus
891566,SLC38A6,Hippocampus
901387,LGMN,Hippocampus
906807,ANG,Hippocampus
908018,RBM25,Hippocampus
909349,VRK1,Hippocampus
